Player,Season,Team,Position,TOI,Goals,Points,PrimaryAPerc,ShotPer,iBLK,TakeGiveRatio,iHF,iPENPlusMinus,FOPlusMinus,xGFPerc,RelTMGPlusMinusPer60,RelTMSPlusMinusPer60,RelTMFPlusMinusPer60,RelTMCPlusMinusPer60,RelTMXGPlusMinusPer60,RelTMGFPer60,RelTMGAPer60,RelTMSFPer60,RelTMSAPer60,RelTMFFPer60,RelTMFAPer60,RelTMCFPer60,RelTMCAPer60,RelTMxGFPer60,RelTMxGAPer60,TOIPerc,OZSPerc,DZSPerc,
Dylan Guenther,22-24,ARI,R,902.35,10,28,0.50,8.4,34,0.96,49,-5,-12,45.63,0.14,1.16,1.61,1.63,-0.13,0.09,-0.05,1.24,0.08,1.57,-0.03,2.03,0.4,-0.13,0,23.64,10.46,10.05,
Elmer Soderblom,22-23,DET,L,226.47,5,8,0.33,19.23,11,3,21,2,-1,54.37,0.74,1.8,4.79,5.43,0.78,0.98,0.24,3.3,1.5,2.3,-2.49,3.34,-2.09,0.34,-0.44,22.35,13.31,8.53,
Jack Quinn,22-24,BUF,R,1195,21,46,0.52,14.89,28,1.103448276,66,8,-10,51.6,0.03,-1.77,-2.34,-0.22,0.33,0.39,0.36,-1.05,0.72,-0.63,1.71,0.43,0.65,0.27,-0.07,23.37,16.01,9.62,
Jake Neighbours,22-24,STL,L,1447.27,23,31,0.75,15.44,62,2.578947368,195,8,-11,43.01,-0.65,-3.36,-4.44,-6.75,-0.23,-0.31,0.34,-2.06,1.3,-2.79,1.65,-3.77,2.98,-0.1,0.13,24.15,10.85,9.36,
Jj Peterka,22-24,BUF,R,2083.31,33,68,0.57,11.19,27,1.5,45,11,-8,49.56,-0.01,0.11,-0.46,0.15,0.12,0.23,0.24,0.76,0.65,0.68,1.14,1.43,1.28,0.16,0.04,26.24,13.08,9.71,
Juraj Slafkovsky,22-24,MTL,L,1615.87,17,43,0.46,11.41,92,0.86,195,-10,0,47.46,-0.19,1.12,1.54,2.35,0.15,-0.16,0.02,1.15,0.03,2.08,0.53,2.09,-0.26,0.11,-0.03,27.06,15.78,11.19,
Kirill Marchenko,22-24,CBJ,R,1811.7,28,44,0.69,12.12,76,2.114285714,76,10,-23,44.45,0.53,0.75,0.09,0.23,-0.03,-0.04,-0.57,-1.09,-1.83,-1.92,-2,-1.21,-1.44,-0.09,-0.06,26.21,15.77,12.25,
Luke Evangelista,22-24,NSH,R,1233.13,19,40,0.90,10.98,29,1.088888889,38,14,-2,53.36,0.25,3.52,4.1,5.31,0.18,0.26,0.01,2,-1.52,2.37,-1.73,3.79,-1.52,0.09,-0.09,24.19,15.07,5.73,
Marco Rossi,22-24,MIN,C,1384.78,19,35,0.63,13.57,44,1.8,40,7,-84,51.47,-0.06,-0.54,0.65,1.24,0.02,-0.39,-0.33,-0.31,0.23,0.27,-0.39,0.39,-0.85,0.04,0.02,28.07,12.71,8.23,`
Mason McTavish,22-24,ANA,C,1872.1,23,56,0.76,11.56,67,1.225,116,1,-81,43.4,-0.24,-0.72,-1.04,-0.54,0.15,0.37,0.61,0.34,1.06,0.44,1.49,-0.08,0.46,0.18,0.03,26.41,12.5,11.74,
Matthew Knies,22-24,TOR,L,1043.89,15,34,0.63,14.02,30,1.379310345,168,-6,-1,52.08,0.1,-2.76,-3.3,-4.13,-0.12,0.04,-0.06,-2.07,0.69,-2.01,1.29,-3.62,0.51,-0.19,-0.07,24.97,11.87,9.78,
Ridly Greig,22-24,OTT,C,1118.27,11,28,0.76,10,34,1.25,147,-11,-63,52.61,1.05,1.2,1.51,1.56,0.36,0.5,-0.55,0.07,-1.14,0.26,-1.25,-1.13,-2.69,0.2,-0.15,24.81,12.66,9.04,
Tyson Foerster,22-24,PHI,R,1205.88,16,27,0.45,11.94,56,2.583333333,102,5,0,54.09,0.6,1.95,2.05,4.17,0.16,0.15,-0.45,-0.76,-2.71,-0.96,-3.01,-0.48,-4.65,-0.18,-0.34,28.78,11.51,10.63,
Wyatt Johnston,22-24,DAL,C,2199.12,43,81,0.74,13.96,66,1.055555556,66,-2,-40,54.92,0.06,-0.17,-1.01,-0.29,0.12,0.08,0.01,0.75,0.91,0.32,1.33,0.87,1.15,0.16,0.04,26.85,13.03,10.09,
Aliaksei Protas,21-23,WSH,C,999.25,7,23,0.56,6.19,24,0.757575758,58,-3,-32,54.05,-0.2,3.64,5.34,7.32,0.36,-0.3,-0.1,-0.4,-4.04,0.32,-5.02,1.91,-5.41,-0.05,-0.41,21.89,11.1,14.63,
Anton Lundell,21-23,FLA,C,1708.19,22,50,0.54,9.87,68,1.116666667,47,0,-102,54.71,0.35,-0.76,-0.98,-0.82,-0.12,0.24,-0.11,-1.85,-1.09,-2.22,-1.24,-1.22,-0.4,-0.2,-0.08,25.59,12.03,11.23,
Arthur Kaliyev,21-23,L.A,R,1370.59,13,32,0.58,5.56,22,0.838709677,64,-3,0,53.41,0.12,3.75,4.79,5.86,0.1,0.12,-0.01,1.36,-2.39,1.91,-2.88,1.83,-4.03,0,-0.1,20.24,14.37,7.03,
Bobby Brink,21-22,PHI,R,116.53,0,3,0.67,0,2,0.25,13,1,2,51.48,0.12,-0.88,-1.02,-0.25,0.47,-0.28,-0.41,-2.92,-2.05,-5.04,-4.02,-7.25,-7,0.03,-0.44,24.44,14.29,6.21,
Cole Perfetti,21-23,WPG,C,896.3,7,29,0.55,7.78,23,1.263157895,49,-1,-7,51.77,0.54,0.56,1.99,4.27,0.04,-0.12,-0.66,-0.27,-0.83,0.1,-1.89,1.58,-2.69,-0.21,-0.25,26.4,17.7,7.45,
Cole Sillinger,21-23,CBJ,C,1708.25,16,34,0.56,7.55,72,1.027027027,198,-8,-117,44.68,-0.6,-0.2,0.11,-0.18,0.1,-0.46,0.14,-1.16,-0.97,-1.22,-1.32,-1.38,-1.2,-0.04,-0.14,23.72,16.45,10.02,
Connor McMichael,21-23,WSH,C,753.33,8,17,0.78,7.55,25,1.6,47,0,-46,54.56,-0.39,1.32,0.25,0.83,0.35,-0.43,-0.04,2.18,0.86,2.28,2.03,2.89,2.07,0.24,-0.11,20.43,15.78,8.91,
Dawson Mercer,21-23,N.J,C,2256.96,35,70,0.80,13.06,84,0.85,57,2,-181,52.76,-0.31,-1.71,-3.74,-5.16,-0.08,0.12,0.43,-0.74,0.97,-2.23,1.5,-3.42,1.74,-0.02,0.06,27.16,12.67,8.49,
Jack Drury,21-23,CAR,C,392.3,4,9,0.60,5.97,17,1.428571429,16,0,16,66.95,0.5,6.27,6.97,9.9,0.51,-0.15,-0.65,2.71,-3.56,2.84,-4.13,6.19,-3.71,-0.01,-0.52,19.74,13.98,8.24,
Kent Johnson,21-23,CBJ,C,1075.2,11,25,0.71,10.89,31,0.848484848,16,3,-55,41.25,0.85,-1.21,-1.19,0.12,-0.14,0.27,-0.58,-2.06,-0.85,-2.96,-1.77,-3.55,-3.66,-0.21,-0.07,24.31,17.63,7.99,
Lucas Raymond,21-23,DET,L,2237.62,27,57,0.50,11.39,43,1.191489362,99,21,-11,45.73,-0.22,0.3,-0.31,1.73,-0.14,-0.09,0.14,0.73,0.44,0.39,0.7,1.29,-0.44,0.02,0.16,28.73,13.13,11.85,
Lukas Reichel,21-23,CHI,L,438,6,12,0.67,14.29,18,0.888888889,7,-1,-15,44.62,-0.13,-1.27,-1.73,-6.07,0.15,0.12,0.25,0.26,1.53,-0.37,1.36,-2.86,3.21,-0.03,-0.18,25.68,12.57,6.38,
Matty Beniers,21-23,SEA,C,1257.35,19,47,0.57,15.45,50,1.285714286,84,20,-150,50.93,0.34,-1.02,-2.08,-3.28,-0.04,0.19,-0.15,-1.26,-0.24,-1.42,0.65,-2.36,0.92,-0.1,-0.05,27.9,16.25,8.8,
Nicholas Robertson,21-23,TOR,L,242.15,3,6,0.00,8.82,9,1.125,27,0,1,51.11,-0.93,-2.64,-3.1,-0.53,-0.33,-0.95,-0.02,-2.02,0.62,-0.47,2.63,2.17,2.7,-0.38,-0.05,19.56,13.41,10.34,
Peyton Krebs,21-23,BUF/VGK,C,1582.32,14,33,0.63,12.61,26,0.571428571,114,-2,-98,41.72,-0.66,-2.15,-2.6,-2.24,-0.57,-0.53,0.13,-3.03,-0.88,-3.29,-0.68,-3.21,-0.97,-0.54,0.03,23.93,13.14,11.35,
Philip Tomasino,21-23,NSH,C,1172.42,9,32,0.87,6.77,42,0.774193548,76,12,-9,49.64,0.29,2.28,2.11,0.62,0.09,0.03,-0.26,-0.04,-2.32,-0.01,-2.12,-1.48,-2.1,-0.08,-0.17,22.34,12.53,8.86,
Quinton Byfield,21-23,L.A,C,1121.03,6,29,0.61,6.19,26,1,72,-9,-31,50.94,0.33,-4.04,-2.51,-2.17,-0.11,0.24,-0.09,-3.99,0.05,-3.43,-0.92,-4.76,-2.59,-0.23,-0.12,24.12,12.28,9.99,
Seth Jarvis,21-23,CAR,C,1964.12,28,63,0.57,11.52,63,0.907407407,136,12,-8,59.39,0.06,-0.31,-1.65,-2.18,0.23,0.22,0.16,0.53,0.83,-0.96,0.69,-1.25,0.92,0.13,-0.1,26.53,15.68,7.92,
Vasily Podkolzin,21-23,VAN,R,1384.83,16,30,0.79,10.53,47,1.2,135,3,-4,47.84,0.26,0.22,0.59,0.02,-0.05,-0.12,-0.38,-0.11,-0.34,-0.22,-0.82,-0.72,-0.73,-0.12,-0.06,23.36,12.31,8.31,
Alex Newhook,20-22,COL,C,928.22,10,30,0.50,9.62,37,1.75,42,6,-109,51.55,0.6,-1.38,-3.59,-3.04,-0.09,-0.19,-0.79,-2.73,-1.36,-3.51,0.08,-2.26,0.78,-0.13,-0.04,24.53,9.29,10.04,
Alexis Lafrenière,20-22,NYR,L,1682.03,30,49,0.58,19.11,35,1.473684211,149,-2,-11,49.03,-0.19,-1.81,-1.4,-0.9,0.06,-0.02,0.17,-0.12,1.69,0.08,1.48,0.22,1.12,0.1,0.04,24.92,11.65,7.66,
Cole Caufield,20-22,MTL,R,1025.31,21,32,0.64,12.96,7,1.428571429,19,7,0,44.45,-0.05,-1.05,0.16,0.78,-0.13,0.72,0.77,0.28,1.34,1.46,1.3,0.83,0.05,0.2,0.33,26.78,11.47,8.88,
Dylan Cozens,20-22,BUF,C,1554.64,14,38,0.58,7.49,33,1.047619048,58,2,-87,44.88,0.07,-0.65,0.44,0.89,-0.05,0.18,0.11,0.96,1.61,1.67,1.22,2.93,2.04,0.05,0.1,25.45,12.76,8.95,
Nils Hoglander,20-22,VAN,L,1488.85,21,41,0.35,9.59,35,1.5,67,3,-1,50.38,0.2,2.7,3.58,7.22,0.35,0.08,-0.12,3.47,0.78,3.97,0.39,5.98,-1.24,0.34,-0.02,25.9,13.37,9.73,
Shane Pinto,20-22,OTT,C,179.8,1,6,0.20,7.69,9,0.875,10,-2,-29,50.52,1.64,-2.42,-0.16,-2.46,0.32,0.96,-0.68,-2.34,0.08,-0.19,-0.03,1.38,3.84,0.22,-0.1,21.63,9.05,15.23,
Tim Stützle,20-22,OTT,L,1804.8,20,48,0.64,10.26,65,0.716216216,163,34,-126,45.94,-0.25,-0.57,-1.1,0.52,-0.14,0.12,0.37,-0.07,0.5,-0.48,0.63,-0.12,-0.64,-0.04,0.11,27.59,13.47,6.08,
Trevor Zegras,20-22,ANA,C,1419.18,17,54,0.65,9.39,29,0.61971831,53,10,-118,49.12,0.5,3.34,3.44,6.2,0.16,0.61,0.11,1.9,-1.43,2.18,-1.25,2.89,-3.3,0.22,0.06,27.95,17.67,4.2,
Ty Dellandrea,20-22,DAL,C,284.34,1,2,1.00,4.17,10,1,48,-2,-11,47.77,-0.36,-2.29,-4.82,-4.89,-0.35,-0.34,0.02,-1.42,0.87,-3.08,1.75,-2.82,2.08,-0.49,-0.14,21.34,9.79,10.98,
William Eklund,23-25,S.J,L,2073.55,14,50,0.58,8.43,97,0.436619718,72,17,-91,44.19,0.25,2.12,4.66,4.94,0.23,0.26,0.01,1.21,-0.92,2.25,-2.41,3.22,-1.73,0.12,-0.11,29.21,9.69,12.35,
Adam Fantilli,23-25,CBJ,C,1623.05,26,54,0.64,13.27,69,0.467532468,148,14,-169,42.61,-0.77,-3.75,-4.64,-3.92,-0.5,-0.13,0.64,-2.58,1.17,-3.3,1.34,-3.52,0.39,-0.38,0.12,28.12,15.58,6.66,
Collin Graf,23-25,S.J,R,369.82,3,7,0.25,13.04,17,1.5,16,-1,1,34.28,-0.13,-5.64,-6.89,-10.67,-0.69,-0.22,-0.09,-6.43,-0.79,-8.04,-1.15,-11.49,-0.82,-0.51,0.18,24.32,7.66,13.13,
Connor Bedard,23-25,CHI,C,2190.09,27,65,0.79,10.34,58,0.538461538,87,1,-252,41.97,-0.15,-2.07,-3.19,-3.54,-0.07,0.23,0.38,0.31,2.38,0.66,3.85,1.03,4.57,0.16,0.23,32.54,16.39,7.66,
Cutter Gauthier,23-25,ANA,L,808.05,9,26,0.59,7.56,37,0.234375,50,3,-9,44.25,0.71,-0.93,0.41,0.42,0.16,0.65,-0.07,0.37,1.3,1.78,1.37,1.61,1.2,0.21,0.05,24.37,12.24,12.63,
Fedor Svechkov,24-25,NSH,C,372.57,4,7,0.33,10.81,14,0.166666667,23,5,-50,53.94,-0.91,-1.28,-0.64,-1.95,0.15,-0.22,0.69,-2.07,-0.8,-1.39,-0.76,-0.48,1.47,0.21,0.06,21.94,12.53,2.55,
Frank Nazar,23-25,CHI,C,520.83,6,15,0.67,12.24,19,0.212121212,20,6,-23,39.47,-0.18,-3.89,-4.48,-4.46,-0.38,0.21,0.39,-2.11,1.78,-3.13,1.34,-3.07,1.39,-0.14,0.24,25.4,10.67,8.28,
Jackson Blake,23-25,CAR,R,735.93,8,19,0.73,10,22,0.4,18,4,-1,60.63,0.29,5.1,2.85,3.44,0.36,-0.22,-0.51,1.4,-3.7,-1.3,-4.15,-0.41,-3.85,-0.09,-0.45,22.72,16.61,8.2,
Josh Doan,23-25,ARI/UTA,R,533.58,7,20,0.54,10.14,17,0.9375,33,3,-16,60.01,0.51,6.5,8.28,13.12,0.91,0.45,-0.06,2.82,-3.68,4.15,-4.13,5.29,-7.83,0.52,-0.39,23.33,12.6,9.74,
Leo Carlsson,23-25,ANA,C,1599.92,19,40,0.43,11.95,48,0.790322581,45,12,-247,46.92,0.2,2.34,3.44,5.14,0.21,-0.17,-0.37,0.69,-1.65,0.94,-2.5,1.48,-3.67,0.05,-0.16,28.44,13.03,10.74,
Logan Cooley,23-25,ARI/UTA,C,1868.97,24,58,0.65,11.59,44,0.523255814,88,6,-206,48.16,0.18,-2.45,-2.42,-3.78,-0.2,0.19,0.01,-1.22,1.23,-1.48,0.95,-1.9,1.89,-0.12,0.08,26.91,12.01,8.92,
Logan Stankoven,23-25,DAL/CAR,C,1101.72,11,31,0.55,6.21,35,0.627906977,63,16,-13,54.95,0.22,3.94,5.13,6.2,0.13,-0.12,-0.34,3.65,-0.28,4.06,-1.07,5.31,-0.89,0.18,0.04,26.06,13.42,11.86,
Zach Benson,23-25,BUF,L,1563.53,16,44,0.64,11.19,49,0.909090909,54,-2,-13,52.11,-0.17,4.12,5.87,9.34,0.47,-0.25,-0.08,1.52,-2.6,2.08,-3.79,3.64,-5.69,0.11,-0.36,24.34,13.68,10.78,
Zachary Bolduc,23-25,STL,C,907.59,15,30,0.27,15.79,40,0.436363636,88,1,-2,48.87,0.93,1.12,0.78,0.9,0.03,0.55,-0.39,-1.41,-2.52,-1.7,-2.48,-2.63,-3.54,-0.24,-0.27,21.77,11.53,7.17,
Zachary L'Heureux,24-25,NSH,L,478.4,3,11,0.50,6.38,11,0.24,141,-3,-1,53.2,0.01,-2.22,1.56,2.41,0.19,0.29,0.28,-0.98,1.24,1.68,0.12,3.43,1.02,0.19,0,21.35,5.77,11.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,